PsrID,FullName,ShortName,Extension
1,00-Norte Grande\C. AFC Minera - C. DSM Minera.ElmLod,C. AFC Minera - C. DSM Minera,ElmLod
2,00-Norte Grande\C. Afta. SQM El Salar EA - Litio EDELNOR.ElmLod,C. Afta. SQM El Salar EA - Litio EDELNOR,ElmLod
3,00-Norte Grande\C. Aguas Blancas UFR-Aguas Blancas.ElmLod,C. Aguas Blancas UFR-Aguas Blancas,ElmLod
4,00-Norte Grande\C. Barriles.ElmLod,C. Barriles,ElmLod
5,00-Norte Grande\C. Chuquicamata Km-6 2.ElmLod,C. Chuquicamata Km-6 2,ElmLod
6,00-Norte Grande\C. Chuquicamata Km-6 3.ElmLod,C. Chuquicamata Km-6 3,ElmLod
7,00-Norte Grande\C. Chuquicamata Km-6 4.ElmLod,C. Chuquicamata Km-6 4,ElmLod
8,00-Norte Grande\C. Chuquicamata Salar.ElmLod,C. Chuquicamata Salar,ElmLod
9,00-Norte Grande\C. Cochrane 220 kV.ElmLod,C. Cochrane 220 kV,ElmLod
10,00-Norte Grande\C. Collahuasi B1 3.ElmLod,C. Collahuasi B1 3,ElmLod
11,00-Norte Grande\C. Cosayach Dolores Eliqsa.ElmLod,C. Cosayach Dolores Eliqsa,ElmLod
12,00-Norte Grande\C. Escondida Bombeo #2 UFR.ElmLod,C. Escondida Bombeo #2 UFR,ElmLod
13,00-Norte Grande\C. Escondida Bombeo #3 UFR.ElmLod,C. Escondida Bombeo #3 UFR,ElmLod
14,00-Norte Grande\C. Guardiamarina 1.ElmLod,C. Guardiamarina 1,ElmLod
15,00-Norte Grande\C. Guardiamarina 2.ElmLod,C. Guardiamarina 2,ElmLod
16,00-Norte Grande\C. Menores Chap/CAN-CAN Putre.ElmLod,C. Menores Chap/CAN-CAN Putre,ElmLod
17,00-Norte Grande\C. SGO 1.ElmLod,C. SGO 1,ElmLod
18,00-Norte Grande\C. SGO 2.ElmLod,C. SGO 2,ElmLod
19,00-Norte Grande\C. SQM La Cruz 23.ElmLod,C. SQM La Cruz 23,ElmLod
20,00-Norte Grande\C. Tap Off Oeste -Salar.ElmLod,C. Tap Off Oeste -Salar,ElmLod
21,00-Norte Grande\C.Challacollo 1.ElmLod,C.Challacollo 1,ElmLod
22,00-Norte Grande\C.Challacollo 2.ElmLod,C.Challacollo 2,ElmLod
23,00-Norte Grande\C.Paguana 1.ElmLod,C.Paguana 1,ElmLod
